model-1577492680,1577492683.736,in_sample,0.43,0.2513
model-1577492680,1577492683.794,in_sample,0.57,0.2443
model-1577492680,1577492683.877,in_sample,0.57,0.2429
model-1577492737,1577492737.72,in_sample,0.43,0.2524
model-1577492737,1577492737.802,in_sample,0.57,0.2441
model-1577492737,1577492737.885,in_sample,0.57,0.2516
model-1577492789,1577492789.754,in_sample,0.57,0.2476
model-1577492789,1577492789.838,in_sample,0.57,0.2458
model-1577492789,1577492789.929,in_sample,0.57,0.2448
model-1577492827,1577492828.125,in_sample,0.43,0.2514
model-1577492827,1577492828.214,in_sample,0.57,0.244
model-1577492827,1577492828.295,in_sample,0.57,0.2542
model-1577495114,1577495123,in_sample,0.44,0.2513
model-1577495114,1577495123,in_sample,0.56,0.2453
model-1577495114,1577495123,in_sample,0.56,0.2529
model-1577495169,1577495179.015,in_sample,0.56,0.2483
model-1577495169,1577495179.104,in_sample,0.56,0.2465
model-1577495169,1577495179.196,in_sample,0.63,0.248
model-1577495241,1577495250.373,in_sample,0.44,0.2525
model-1577495241,1577495250.458,in_sample,0.56,0.2457
model-1577495241,1577495250.546,in_sample,0.56,0.2539
model-1577495273,1577495282.002,0.53,0.2499,0.5,0.2564
model-1577495273,1577495282.14,0.54,0.2507,0.5,0.2499
model-1577495273,1577495282.266,0.57,0.2488,0.5,0.2496
model-1577495273,1577495282.392,0.5,0.2497,0.5,0.2495
model-1577495273,1577495282.516,0.53,0.2494,0.5,0.2495
model-1577495273,1577495282.642,0.53,0.2485,0.49,0.2494
model-1577495273,1577495282.77,0.48,0.2515,0.49,0.2493
model-1577495273,1577495282.898,0.47,0.251,0.53,0.2493
model-1577495273,1577495283.027,0.58,0.2482,0.53,0.2491
model-1577495273,1577495283.154,0.42,0.251,0.59,0.2492
model-1577495273,1577495283.281,0.56,0.2489,0.57,0.2489
model-1577495273,1577495283.407,0.52,0.2483,0.58,0.2485
model-1577495273,1577495283.533,0.49,0.2486,0.55,0.248
model-1577495273,1577495283.659,0.53,0.2471,0.55,0.2474
model-1577495273,1577495283.786,0.54,0.2478,0.56,0.247
model-1577495273,1577495283.91,0.45,0.2544,0.54,0.248
model-1577495273,1577495284.036,0.48,0.2515,0.52,0.2487
model-1577495273,1577495284.16,0.51,0.2494,0.51,0.249
model-1577495273,1577495284.284,0.57,0.2459,0.5,0.2492
model-1577495273,1577495284.414,0.59,0.2461,0.5,0.2494
model-1577495273,1577495284.538,0.44,0.2538,0.5,0.2493
model-1577495273,1577495284.663,0.49,0.2497,0.51,0.2492
model-1577495273,1577495284.787,0.51,0.2495,0.51,0.2491
model-1577495273,1577495284.913,0.56,0.2472,0.51,0.2491
model-1577495273,1577495285.041,0.52,0.2463,0.51,0.2488
model-1577495273,1577495285.164,0.51,0.2468,0.54,0.2484
model-1577495273,1577495285.288,0.62,0.2435,0.51,0.2478
model-1577495273,1577495285.418,0.47,0.2507,0.54,0.247
model-1577495273,1577495285.544,0.51,0.2481,0.55,0.2461
model-1577495273,1577495285.682,0.57,0.2437,0.56,0.2447
model-1577495273,1577495285.808,0.54,0.2449,0.56,0.2442
model-1577495273,1577495285.934,0.46,0.2544,0.57,0.2438
model-1577495273,1577495286.062,0.53,0.2431,0.59,0.244
model-1577495273,1577495286.19,0.61,0.2435,0.61,0.2437
model-1577495273,1577495286.316,0.59,0.2526,0.53,0.2442
model-1577495273,1577495286.442,0.54,0.2422,0.51,0.2462
model-1577495273,1577495286.57,0.48,0.2555,0.53,0.2441
model-1577495273,1577495286.697,0.51,0.2421,0.61,0.2436
model-1577495273,1577495286.821,0.63,0.2442,0.63,0.2429
model-1577495273,1577495286.947,0.56,0.2439,0.63,0.2435
model-1577495273,1577495287.073,0.63,0.2448,0.64,0.2429
model-1577495273,1577495287.198,0.48,0.2483,0.62,0.2408
model-1577495273,1577495287.323,0.59,0.2434,0.63,0.239
model-1577495273,1577495287.448,0.64,0.2378,0.63,0.2381
model-1577495273,1577495287.572,0.64,0.2362,0.65,0.2351
model-1577495273,1577495287.697,0.62,0.2366,0.65,0.2327
model-1577495273,1577495287.822,0.65,0.2274,0.62,0.2309
model-1577495273,1577495287.947,0.64,0.2228,0.62,0.2317
model-1577495273,1577495288.075,0.56,0.2384,0.63,0.2275
model-1577495273,1577495288.201,0.73,0.2093,0.67,0.23
model-1577495273,1577495288.325,0.63,0.2439,0.54,0.2545
model-1577495273,1577495288.451,0.46,0.2899,0.66,0.2244
model-1577495273,1577495288.574,0.6,0.2361,0.62,0.2377
model-1577495273,1577495288.7,0.46,0.2818,0.6,0.2331
model-1577495273,1577495288.84,0.65,0.2289,0.63,0.2325
model-1577495273,1577495288.965,0.63,0.2332,0.6,0.2345
model-1577495273,1577495289.088,0.65,0.2212,0.64,0.2347
model-1577495273,1577495289.218,0.63,0.2294,0.6,0.2348
model-1577495273,1577495289.344,0.7,0.2132,0.6,0.2363
model-1577495273,1577495289.469,0.66,0.2262,0.59,0.237
model-1577495273,1577495289.597,0.67,0.2304,0.6,0.2385
model-1577495273,1577495289.726,0.54,0.2522,0.62,0.2333
model-1577495273,1577495289.85,0.62,0.2235,0.66,0.2324
model-1577495273,1577495289.975,0.6,0.2279,0.65,0.2316
model-1577495273,1577495290.101,0.74,0.2131,0.59,0.2318
model-1577495273,1577495290.225,0.7,0.2134,0.61,0.2307
model-1577495273,1577495290.352,0.77,0.2043,0.62,0.229
model-1577495273,1577495290.478,0.61,0.2349,0.62,0.2283
model-1577495273,1577495290.602,0.69,0.2172,0.62,0.2302
model-1577495273,1577495290.728,0.68,0.2231,0.62,0.2263
model-1577495273,1577495290.856,0.59,0.2388,0.66,0.2254
model-1577495273,1577495290.98,0.7,0.2122,0.59,0.2367
model-1577495273,1577495291.104,0.57,0.2618,0.67,0.2225
model-1577495273,1577495291.229,0.63,0.2339,0.64,0.231
model-1577495273,1577495291.353,0.66,0.2182,0.62,0.2226
model-1577495273,1577495291.476,0.54,0.2419,0.65,0.2289
model-1577495273,1577495291.602,0.51,0.2615,0.69,0.2252
model-1577495273,1577495291.725,0.6,0.2306,0.66,0.2227
model-1577495273,1577495291.851,0.63,0.2321,0.61,0.2242
model-1577495273,1577495291.975,0.6,0.2197,0.62,0.2259
model-1577495273,1577495292.1,0.65,0.2152,0.62,0.2238
model-1577495273,1577495292.224,0.66,0.2172,0.64,0.223
model-1577495273,1577495292.348,0.59,0.2295,0.67,0.2225
model-1577495273,1577495292.476,0.67,0.2143,0.66,0.2224
model-1577495273,1577495292.601,0.55,0.2442,0.61,0.2282
model-1577495273,1577495292.725,0.57,0.2328,0.5,0.245
model-1577495273,1577495292.85,0.62,0.2387,0.52,0.2498
model-1577495273,1577495292.977,0.58,0.2432,0.56,0.2344
model-1577495273,1577495293.102,0.53,0.242,0.71,0.2248
model-1577495273,1577495293.226,0.65,0.2238,0.6,0.2338
model-1577495273,1577495293.349,0.59,0.2256,0.57,0.2446
model-1577495273,1577495293.473,0.48,0.2728,0.6,0.2344
model-1577495273,1577495293.596,0.53,0.2356,0.64,0.2293
model-1577495273,1577495293.722,0.59,0.2372,0.58,0.2374
model-1577495273,1577495293.846,0.55,0.2394,0.54,0.2441
model-1577495273,1577495293.973,0.6,0.2382,0.51,0.2463
model-1577495273,1577495294.106,0.49,0.2572,0.54,0.2429
model-1577495273,1577495294.231,0.6,0.2358,0.61,0.2391
model-1577495273,1577495294.36,0.69,0.232,0.63,0.2365
model-1577495273,1577495294.485,0.67,0.2365,0.64,0.2344
model-1577495273,1577495294.613,0.55,0.2352,0.62,0.2328
model-1577495273,1577495294.738,0.61,0.2383,0.58,0.2317
model-1577495273,1577495294.866,0.58,0.2358,0.59,0.2308
model-1577495273,1577495294.993,0.6,0.2284,0.62,0.2292
model-1577495273,1577495295.117,0.62,0.2205,0.63,0.2267
model-1577495273,1577495295.251,0.64,0.2191,0.68,0.224
model-1577495273,1577495295.379,0.58,0.2265,0.65,0.2226
model-1577495273,1577495295.503,0.69,0.2141,0.62,0.224
model-1577495273,1577495295.63,0.65,0.2213,0.62,0.2221
model-1577495273,1577495295.754,0.72,0.1928,0.65,0.2196
model-1577495273,1577495295.879,0.64,0.2292,0.64,0.2198
model-1577495273,1577495296.006,0.6,0.2343,0.64,0.2202
model-1577495273,1577495296.133,0.68,0.2229,0.68,0.2236
model-1577495273,1577495296.258,0.62,0.2244,0.66,0.2258
model-1577495273,1577495296.384,0.58,0.2315,0.63,0.2243
model-1577495273,1577495296.51,0.66,0.2325,0.62,0.2266
model-1577495273,1577495296.636,0.58,0.2317,0.63,0.2298
model-1577495273,1577495296.76,0.56,0.2529,0.64,0.2265
model-1577495273,1577495296.885,0.62,0.2184,0.64,0.2256
model-1577495273,1577495297.012,0.66,0.2244,0.66,0.2252
model-1577495273,1577495297.136,0.6,0.2291,0.66,0.2252
model-1577495273,1577495297.259,0.61,0.2304,0.65,0.2247
model-1577495273,1577495297.384,0.67,0.2212,0.65,0.2251
model-1577495273,1577495297.507,0.62,0.2313,0.61,0.2266
model-1577495273,1577495297.633,0.53,0.2506,0.62,0.2259
model-1577495273,1577495297.759,0.69,0.2027,0.67,0.2245
model-1577495273,1577495297.882,0.57,0.2364,0.65,0.2255
model-1577495273,1577495298.015,0.63,0.2188,0.63,0.2273
model-1577495273,1577495298.139,0.6,0.2349,0.65,0.2285
model-1577495273,1577495298.263,0.54,0.2434,0.65,0.2234
model-1577495273,1577495298.387,0.59,0.2345,0.66,0.2214
model-1577495273,1577495298.511,0.72,0.2037,0.64,0.2213
model-1577495273,1577495298.634,0.66,0.2177,0.66,0.2186
model-1577495273,1577495298.757,0.62,0.2286,0.68,0.2173
model-1577495273,1577495298.882,0.59,0.2339,0.69,0.2198
model-1577495273,1577495299.008,0.73,0.1924,0.6,0.2264
model-1577495273,1577495299.132,0.66,0.2262,0.62,0.2268
model-1577495273,1577495299.256,0.66,0.2221,0.68,0.2149
model-1577495273,1577495299.381,0.67,0.2085,0.65,0.2179
model-1577495273,1577495299.506,0.54,0.24,0.63,0.2233
model-1577495273,1577495299.632,0.68,0.2355,0.65,0.2166
model-1577495273,1577495299.757,0.61,0.2447,0.65,0.2208
model-1577495273,1577495299.884,0.51,0.2538,0.58,0.246
model-1577495273,1577495300.01,0.48,0.2808,0.58,0.2375
model-1577495273,1577495300.135,0.55,0.252,0.65,0.2258
model-1577495273,1577495300.26,0.64,0.2242,0.66,0.2232
model-1577495273,1577495300.387,0.58,0.2305,0.62,0.2272
model-1577495273,1577495300.509,0.63,0.2193,0.56,0.2354
model-1577495273,1577495300.635,0.59,0.2277,0.53,0.2433
model-1577495273,1577495300.771,0.64,0.2184,0.52,0.248
model-1577495273,1577495300.894,0.51,0.2653,0.51,0.2432
model-1577495273,1577495301.032,0.51,0.2451,0.59,0.2392
model-1577495273,1577495301.161,0.73,0.2127,0.67,0.2393
model-1577495273,1577495301.287,0.65,0.2304,0.56,0.2404
model-1577495273,1577495301.415,0.63,0.2325,0.58,0.2409
model-1577495273,1577495301.539,0.6,0.2309,0.56,0.2406
model-1577495273,1577495301.662,0.56,0.2374,0.56,0.2397
model-1577495273,1577495301.788,0.64,0.2333,0.57,0.2381
model-1577495273,1577495301.913,0.66,0.2229,0.61,0.2368
model-1577495273,1577495302.051,0.68,0.218,0.61,0.2356
model-1577495273,1577495302.175,0.55,0.2372,0.65,0.2342
model-1577495273,1577495302.3,0.62,0.238,0.67,0.2326
model-1577495273,1577495302.425,0.61,0.2216,0.65,0.2311
model-1577495273,1577495302.552,0.56,0.2436,0.67,0.2307
model-1577495273,1577495302.676,0.59,0.235,0.67,0.2304
model-1577495273,1577495302.8,0.64,0.2214,0.67,0.23
model-1577495273,1577495302.927,0.6,0.2271,0.65,0.2311
model-1577495273,1577495303.048,0.61,0.2497,0.66,0.2309
model-1577495273,1577495303.172,0.6,0.2312,0.66,0.2305
model-1577495273,1577495303.295,0.67,0.2024,0.67,0.2304
model-1577495273,1577495303.42,0.61,0.2368,0.7,0.2298
model-1577495273,1577495303.543,0.61,0.2329,0.71,0.2293
model-1577495273,1577495303.672,0.66,0.2098,0.71,0.2283
model-1577495273,1577495303.797,0.66,0.2113,0.65,0.2286
model-1577495273,1577495303.924,0.66,0.2135,0.64,0.2302
model-1577495273,1577495304.051,0.58,0.2509,0.63,0.2289
model-1577495273,1577495304.172,0.68,0.215,0.63,0.2246
